tx_id,tx_type,strategy,selected_strategy,payload_bytes,cross_border,network_latency_ms,packet_loss_pct,bandwidth_mbps,threat_level,load_factor,crypto_key_exchange_ms,crypto_signature_ms,crypto_verify_ms,crypto_latency_ms,blockchain_endorsement_ms,blockchain_commit_ms,blockchain_latency_ms,routing_latency_ms,queue_ms,ml_gain_ms,jitter_ms,end_to_end_latency_ms,security_score
287,Transfer,adaptive,static_hybrid,185,False,4.735,0.082,755.955,0.396,0.648,0.435,1.688,0.331,2.454,1.253,2.277,3.530,2.098,1.229,0.000,0.145,9.457,82.02
288,SettleCrossBorder,adaptive,ml_optimized,386,True,232.501,2.000,45.888,0.416,0.628,0.519,1.469,0.286,2.274,1.726,4.501,6.227,253.501,1.113,-0.611,4.716,267.221,81.72
289,SettleCrossBorder,adaptive,ml_optimized,289,True,279.218,0.500,71.342,0.352,0.657,0.519,1.456,0.288,2.263,1.489,3.913,5.402,291.218,1.139,-0.562,5.380,304.841,85.79
290,Transfer,adaptive,static_hybrid,314,False,7.483,0.143,837.346,0.360,0.685,0.435,1.680,0.333,2.448,1.582,2.498,4.080,2.870,1.264,0.000,0.169,10.832,82.20
291,Transfer,adaptive,static_hybrid,279,False,4.425,0.091,998.505,0.317,0.727,0.435,1.671,0.335,2.441,1.502,2.437,3.939,2.034,1.303,0.000,0.151,9.869,82.41
292,Transfer,adaptive,ml_optimized,208,True,167.891,1.842,36.058,0.337,0.614,0.425,1.453,0.286,2.164,1.279,4.229,5.508,187.942,1.102,-0.559,3.521,199.678,82.51
293,SettleCrossBorder,adaptive,ml_optimized,433,True,177.463,0.967,55.333,0.782,0.617,0.519,1.539,0.286,2.344,1.842,4.338,6.180,192.267,1.104,-0.614,3.614,204.896,82.47
294,Transfer,adaptive,ml_optimized,219,True,219.223,1.280,31.828,0.718,0.637,0.425,1.526,0.287,2.238,1.311,4.172,5.482,235.905,1.121,-0.564,4.385,248.567,82.01
295,IssueCBDC,adaptive,static_hybrid,312,False,4.012,0.127,670.192,0.116,0.651,0.577,1.626,0.331,2.535,1.571,2.494,4.065,1.981,1.232,0.000,0.154,9.966,83.42
296,Transfer,adaptive,static_hybrid,314,False,4.001,0.136,871.877,0.591,0.612,0.435,1.731,0.329,2.496,1.569,2.498,4.067,1.990,1.195,0.000,0.154,9.901,81.04
297,SettleCrossBorder,adaptive,ml_optimized,515,True,155.897,1.557,30.385,0.311,0.604,0.519,1.448,0.285,2.253,2.045,4.733,6.778,174.236,1.092,-0.642,3.299,187.017,83.35
298,SettleCrossBorder,adaptive,ml_optimized,402,True,177.847,1.182,73.005,0.530,0.621,0.519,1.490,0.286,2.296,1.765,4.218,5.983,193.940,1.108,-0.598,3.640,206.369,83.19
299,Transfer,adaptive,static_hybrid,230,False,3.787,0.087,819.884,0.240,0.731,0.435,1.654,0.335,2.424,1.380,2.354,3.734,1.869,1.307,0.000,0.144,9.478,82.80
300,IssueCBDC,adaptive,static_hybrid,379,False,3.395,0.054,815.420,0.240,0.621,0.574,1.654,0.330,2.557,1.733,2.606,4.339,1.725,1.203,0.000,0.155,9.979,82.80
301,IssueCBDC,adaptive,static_hybrid,240,False,5.006,0.040,702.871,0.491,0.656,0.578,1.709,0.331,2.619,1.392,2.369,3.761,2.107,1.237,0.000,0.153,9.875,81.55
302,Transfer,adaptive,static_hybrid,209,False,5.109,0.049,792.275,0.548,0.721,0.435,1.722,0.335,2.492,1.326,2.317,3.643,2.146,1.298,0.000,0.149,9.727,81.26
303,IssueCBDC,adaptive,static_hybrid,160,False,5.349,0.077,900.186,0.428,0.646,0.577,1.695,0.331,2.603,1.190,2.234,3.424,2.245,1.227,0.000,0.149,9.648,81.86
304,SettleCrossBorder,adaptive,ml_optimized,278,True,213.248,1.024,57.666,0.477,0.734,0.519,1.480,0.291,2.290,1.475,4.071,5.546,228.393,1.205,-0.576,4.252,241.111,83.85
305,SettleCrossBorder,adaptive,ml_optimized,375,True,227.003,1.639,54.629,0.650,0.752,0.519,1.513,0.292,2.324,1.721,4.365,6.086,245.838,1.221,-0.612,4.576,259.433,81.45
306,Transfer,adaptive,static_hybrid,203,False,5.238,0.218,952.815,0.145,0.647,0.435,1.633,0.331,2.399,1.298,2.312,3.609,2.414,1.228,0.000,0.152,9.802,83.27
307,Transfer,adaptive,static_hybrid,201,False,6.460,0.080,869.054,0.522,0.663,0.435,1.716,0.332,2.483,1.295,2.304,3.599,2.528,1.243,0.000,0.155,10.008,81.39
308,IssueCBDC,adaptive,static_hybrid,205,False,1.899,0.022,885.428,0.287,0.757,0.590,1.664,0.337,2.591,1.322,2.309,3.632,1.306,1.332,0.000,0.136,8.995,82.57
309,Transfer,adaptive,ml_optimized,255,True,192.211,1.331,69.084,0.625,0.644,0.425,1.509,0.287,2.220,1.402,4.019,5.420,209.197,1.127,-0.559,3.903,221.309,82.35
310,SettleCrossBorder,adaptive,ml_optimized,360,True,164.076,0.500,47.947,0.453,0.723,0.519,1.476,0.290,2.285,1.679,4.174,5.853,176.076,1.196,-0.594,3.316,188.132,85.28
311,IssueCBDC,adaptive,static_hybrid,301,False,3.644,0.000,963.469,0.116,0.712,0.585,1.626,0.334,2.545,1.554,2.472,4.026,1.711,1.290,0.000,0.149,9.721,83.42
312,SettleCrossBorder,adaptive,ml_optimized,476,True,231.136,1.036,10.000,0.419,0.771,0.519,1.469,0.293,2.281,1.977,4.696,6.673,249.049,1.237,-0.645,4.644,263.240,84.12
313,IssueCBDC,adaptive,static_hybrid,237,False,4.356,0.066,806.316,0.233,0.663,0.579,1.652,0.332,2.563,1.386,2.365,3.750,1.981,1.244,0.000,0.149,9.687,82.84
314,IssueCBDC,adaptive,static_hybrid,320,False,3.978,0.104,968.506,0.542,0.702,0.583,1.721,0.334,2.638,1.600,2.507,4.107,1.940,1.280,0.000,0.156,10.121,81.29
315,Transfer,adaptive,static_hybrid,212,False,5.010,0.114,964.361,0.137,0.757,0.435,1.631,0.336,2.403,1.340,2.324,3.664,2.212,1.331,0.000,0.149,9.759,83.32
316,Transfer,adaptive,ml_optimized,217,True,216.862,1.047,53.404,0.749,0.646,0.425,1.532,0.287,2.244,1.307,3.997,5.304,232.145,1.129,-0.554,4.314,244.582,82.44
317,Transfer,adaptive,static_hybrid,245,False,3.726,0.081,917.403,0.151,0.665,0.435,1.634,0.332,2.401,1.406,2.379,3.785,1.845,1.245,0.000,0.145,9.421,83.25
318,IssueCBDC,adaptive,static_hybrid,273,False,3.427,0.004,838.176,0.125,0.722,0.586,1.628,0.335,2.549,1.486,2.424,3.910,1.663,1.298,0.000,0.146,9.566,83.38
319,SettleCrossBorder,adaptive,ml_optimized,301,True,224.242,1.450,31.492,0.400,0.642,0.519,1.465,0.287,2.272,1.516,4.344,5.860,241.942,1.125,-0.590,4.501,255.111,83.18
320,IssueCBDC,adaptive,static_hybrid,277,False,3.882,0.100,907.258,0.431,0.654,0.578,1.696,0.331,2.605,1.484,2.434,3.918,1.910,1.234,0.000,0.152,9.819,81.85
321,Transfer,adaptive,ml_optimized,190,True,232.503,0.815,31.737,0.434,0.651,0.425,1.472,0.287,2.184,1.241,4.039,5.280,246.395,1.134,-0.548,4.569,259.013,84.59
322,SettleCrossBorder,adaptive,ml_optimized,366,True,190.558,0.935,32.507,0.577,0.770,0.519,1.499,0.292,2.311,1.702,4.355,6.057,205.166,1.236,-0.610,3.844,218.004,83.58
323,SettleCrossBorder,adaptive,ml_optimized,328,True,151.397,1.373,58.691,0.339,0.781,0.519,1.454,0.293,2.266,1.609,4.213,5.822,168.633,1.246,-0.593,3.181,180.555,83.67
324,Transfer,adaptive,static_hybrid,282,False,5.601,0.027,776.565,0.186,0.796,0.435,1.642,0.338,2.416,1.522,2.440,3.962,2.239,1.368,0.000,0.155,10.139,83.07
325,SettleCrossBorder,adaptive,ml_optimized,481,True,208.394,0.882,10.000,0.614,0.775,0.519,1.506,0.293,2.318,1.990,4.676,6.667,225.385,1.241,-0.648,4.219,239.182,83.53
326,Transfer,adaptive,static_hybrid,206,False,4.352,0.070,757.872,0.329,0.783,0.435,1.673,0.338,2.446,1.330,2.312,3.642,1.987,1.356,0.000,0.145,9.576,82.35
327,SettleCrossBorder,adaptive,ml_optimized,460,True,160.838,0.718,28.704,0.679,0.795,0.519,1.519,0.294,2.332,1.941,4.499,6.440,174.145,1.258,-0.636,3.293,186.832,83.61
328,SettleCrossBorder,adaptive,ml_optimized,445,True,180.825,1.020,39.987,0.492,0.729,0.519,1.483,0.291,2.293,1.892,4.460,6.352,195.947,1.201,-0.625,3.683,208.851,83.79
329,Transfer,adaptive,ml_optimized,321,True,196.012,1.348,23.518,0.466,0.694,0.425,1.478,0.289,2.192,1.576,4.407,5.983,213.770,1.170,-0.593,3.995,226.517,83.10
330,Transfer,adaptive,static_hybrid,213,False,4.177,0.074,891.896,0.448,0.675,0.435,1.700,0.332,2.467,1.328,2.324,3.652,1.948,1.254,0.000,0.145,9.466,81.76
331,SettleCrossBorder,adaptive,ml_optimized,458,True,280.846,2.000,13.474,0.623,0.690,0.519,1.508,0.289,2.316,1.918,4.818,6.735,304.025,1.167,-0.648,5.635,319.231,80.69
332,Transfer,adaptive,static_hybrid,195,False,3.894,0.000,999.489,0.256,0.740,0.435,1.657,0.336,2.428,1.294,2.292,3.586,1.774,1.316,0.000,0.140,9.243,82.72
333,IssueCBDC,adaptive,static_hybrid,327,False,5.345,0.000,927.236,0.225,0.734,0.587,1.650,0.335,2.573,1.623,2.516,4.139,2.136,1.310,0.000,0.159,10.318,82.88
334,SettleCrossBorder,adaptive,ml_optimized,356,True,189.874,0.754,54.514,0.315,0.724,0.519,1.449,0.290,2.259,1.669,4.174,5.843,203.401,1.196,-0.591,3.807,215.914,85.34
335,Transfer,adaptive,ml_optimized,286,True,241.092,0.665,38.691,0.644,0.713,0.425,1.512,0.290,2.227,1.492,4.134,5.625,254.082,1.187,-0.575,4.715,267.261,83.92
336,Transfer,adaptive,ml_optimized,207,True,100.000,0.589,61.200,0.505,0.675,0.425,1.486,0.288,2.199,1.287,3.851,5.138,112.535,1.154,-0.542,2.158,122.642,84.80
337,SettleCrossBorder,adaptive,ml_optimized,378,True,200.663,1.040,67.075,0.426,0.795,0.519,1.471,0.294,2.283,1.736,4.187,5.924,215.904,1.258,-0.601,4.034,228.802,84.07
338,Transfer,adaptive,static_hybrid,223,False,3.279,0.039,770.696,0.439,0.800,0.435,1.698,0.339,2.471,1.375,2.340,3.715,1.674,1.372,0.000,0.142,9.374,81.81
339,Transfer,adaptive,ml_optimized,184,True,133.861,1.052,54.640,0.449,0.694,0.425,1.475,0.289,2.189,1.233,3.934,5.168,149.173,1.171,-0.544,2.818,159.975,83.92
340,IssueCBDC,adaptive,static_hybrid,284,False,5.569,0.075,910.183,0.249,0.702,0.583,1.656,0.334,2.573,1.510,2.445,3.955,2.297,1.280,0.000,0.159,10.264,82.75
341,SettleCrossBorder,adaptive,ml_optimized,291,True,265.778,0.620,52.874,0.661,0.780,0.519,1.515,0.293,2.327,1.516,4.049,5.565,278.499,1.245,-0.582,5.155,292.210,83.95
342,SettleCrossBorder,adaptive,ml_optimized,293,True,197.226,1.568,41.314,0.395,0.793,0.519,1.465,0.293,2.277,1.524,4.292,5.816,215.633,1.256,-0.594,4.027,228.415,82.91
343,Transfer,adaptive,static_hybrid,275,False,4.521,0.000,782.687,0.538,0.713,0.435,1.720,0.334,2.489,1.489,2.428,3.917,1.930,1.290,0.000,0.150,9.777,81.31
344,IssueCBDC,adaptive,static_hybrid,224,False,4.591,0.108,922.977,0.268,0.701,0.583,1.660,0.334,2.577,1.360,2.344,3.704,2.099,1.279,0.000,0.151,9.810,82.66
345,Transfer,adaptive,static_hybrid,198,False,3.320,0.162,804.407,0.335,0.820,0.435,1.675,0.340,2.450,1.316,2.301,3.618,1.857,1.391,0.000,0.143,9.458,82.32
346,Transfer,adaptive,static_hybrid,194,False,6.081,0.125,608.735,0.127,0.820,0.435,1.629,0.340,2.404,1.306,2.294,3.600,2.496,1.391,0.000,0.153,10.043,83.36
347,IssueCBDC,adaptive,static_hybrid,264,False,4.347,0.129,613.137,0.458,0.811,0.596,1.702,0.339,2.637,1.480,2.413,3.892,2.067,1.382,0.000,0.155,10.134,81.71
348,Transfer,adaptive,static_hybrid,226,False,4.693,0.144,945.891,0.482,0.769,0.435,1.707,0.337,2.480,1.377,2.349,3.726,2.174,1.343,0.000,0.151,9.873,81.59
349,SettleCrossBorder,adaptive,ml_optimized,368,True,252.865,1.426,32.772,0.319,0.728,0.519,1.450,0.291,2.260,1.699,4.446,6.145,270.424,1.200,-0.609,5.019,284.438,83.64
350,Transfer,adaptive,ml_optimized,198,True,162.668,1.866,54.867,0.647,0.752,0.425,1.513,0.292,2.229,1.279,4.103,5.382,182.861,1.220,-0.562,3.428,194.559,80.90
351,IssueCBDC,adaptive,static_hybrid,416,False,2.909,0.125,961.382,0.464,0.791,0.594,1.703,0.338,2.635,1.856,2.671,4.527,1.702,1.364,0.000,0.160,10.388,81.68
352,Transfer,adaptive,static_hybrid,268,False,5.007,0.079,942.174,0.559,0.765,0.435,1.724,0.337,2.496,1.481,2.418,3.899,2.162,1.339,0.000,0.154,10.050,81.20
353,Transfer,adaptive,static_hybrid,177,False,5.216,0.140,788.277,0.119,0.837,0.435,1.627,0.341,2.403,1.267,2.265,3.532,2.300,1.407,0.000,0.148,9.790,83.41
354,Transfer,adaptive,static_hybrid,296,False,7.395,0.129,758.209,0.308,0.765,0.435,1.669,0.337,2.441,1.551,2.467,4.018,2.829,1.339,0.000,0.167,10.795,82.46
355,Transfer,adaptive,static_hybrid,186,False,4.970,0.143,780.610,0.235,0.801,0.435,1.653,0.339,2.427,1.283,2.280,3.563,2.243,1.373,0.000,0.148,9.754,82.83
356,IssueCBDC,adaptive,static_hybrid,290,False,4.251,0.059,838.288,0.199,0.742,0.588,1.645,0.336,2.569,1.532,2.455,3.987,1.946,1.317,0.000,0.153,9.972,83.00
357,Transfer,adaptive,static_hybrid,191,False,4.513,0.154,840.435,0.567,0.764,0.435,1.726,0.337,2.498,1.289,2.289,3.578,2.144,1.338,0.000,0.148,9.706,81.17
358,IssueCBDC,adaptive,static_hybrid,243,False,2.867,0.000,941.062,0.356,0.825,0.598,1.679,0.340,2.617,1.430,2.373,3.803,1.517,1.395,0.000,0.143,9.474,82.22
359,IssueCBDC,adaptive,static_hybrid,316,False,3.970,0.116,950.289,0.187,0.724,0.586,1.642,0.335,2.563,1.594,2.501,4.095,1.955,1.300,0.000,0.155,10.068,83.06
360,Transfer,adaptive,static_hybrid,313,False,3.308,0.156,1017.240,0.432,0.746,0.435,1.696,0.336,2.467,1.590,2.497,4.087,1.845,1.321,0.000,0.151,9.871,81.84
361,Transfer,adaptive,static_hybrid,243,False,2.371,0.009,1033.897,0.581,0.763,0.435,1.729,0.337,2.501,1.418,2.373,3.792,1.405,1.337,0.000,0.139,9.174,81.09
362,Transfer,adaptive,static_hybrid,218,False,4.491,0.011,867.076,0.571,0.748,0.435,1.727,0.336,2.498,1.353,2.331,3.684,1.938,1.323,0.000,0.146,9.590,81.14
363,Transfer,adaptive,static_hybrid,216,False,4.534,0.009,899.096,0.442,0.852,0.435,1.698,0.341,2.475,1.367,2.327,3.694,1.946,1.421,0.000,0.146,9.682,81.79
364,SettleCrossBorder,adaptive,ml_optimized,399,True,268.999,1.841,59.056,0.457,0.834,0.519,1.476,0.295,2.291,1.796,4.415,6.211,289.044,1.291,-0.621,5.356,303.572,81.91
365,Transfer,adaptive,static_hybrid,193,False,2.742,0.050,1026.930,0.450,0.744,0.435,1.700,0.336,2.471,1.290,2.290,3.580,1.556,1.320,0.000,0.137,9.063,81.75
366,Transfer,adaptive,ml_optimized,96,True,161.747,1.657,19.211,0.327,0.829,0.425,1.452,0.295,2.171,1.038,4.106,5.144,182.009,1.287,-0.547,3.408,193.472,83.02
367,IssueCBDC,adaptive,static_hybrid,302,False,5.251,0.001,882.280,0.585,0.742,0.588,1.730,0.336,2.654,1.562,2.473,4.035,2.113,1.317,0.000,0.158,10.278,81.07
368,Transfer,adaptive,static_hybrid,134,False,3.339,0.101,641.368,0.324,0.754,0.435,1.672,0.336,2.444,1.144,2.191,3.335,1.776,1.329,0.000,0.136,9.019,82.38
369,Transfer,adaptive,static_hybrid,278,False,4.906,0.111,847.930,0.410,0.784,0.435,1.691,0.338,2.464,1.510,2.436,3.946,2.182,1.357,0.000,0.155,10.103,81.95
370,Transfer,adaptive,ml_optimized,232,True,147.770,0.500,41.070,0.580,0.833,0.425,1.500,0.295,2.220,1.378,3.998,5.376,159.770,1.291,-0.565,3.013,171.105,84.65
371,Transfer,adaptive,static_hybrid,174,False,3.885,0.056,854.973,0.582,0.786,0.435,1.729,0.338,2.502,1.250,2.257,3.508,1.850,1.359,0.000,0.141,9.360,81.09
372,Transfer,adaptive,static_hybrid,219,False,4.632,0.088,971.097,0.405,0.772,0.435,1.690,0.337,2.463,1.360,2.335,3.695,2.082,1.346,0.000,0.148,9.734,81.97
373,SettleCrossBorder,adaptive,ml_optimized,430,True,161.109,1.410,50.608,0.763,0.872,0.519,1.535,0.297,2.351,1.880,4.441,6.321,178.569,1.324,-0.634,3.370,191.302,81.46
374,Transfer,adaptive,static_hybrid,164,False,2.465,0.102,912.104,0.124,0.888,0.435,1.628,0.343,2.406,1.243,2.242,3.485,1.560,1.455,0.000,0.134,9.041,83.38
375,SettleCrossBorder,adaptive,ml_optimized,328,True,146.686,1.157,54.891,0.364,0.808,0.519,1.459,0.294,2.272,1.614,4.197,5.810,162.630,1.269,-0.594,3.073,174.461,84.09
376,Transfer,adaptive,static_hybrid,226,False,2.916,0.079,1114.818,0.582,0.898,0.435,1.729,0.343,2.508,1.400,2.347,3.747,1.639,1.464,0.000,0.142,9.500,81.09
377,Transfer,adaptive,ml_optimized,195,True,140.404,1.464,44.850,0.656,0.894,0.425,1.515,0.298,2.237,1.297,4.086,5.383,158.187,1.344,-0.569,2.985,169.566,81.86
378,Transfer,adaptive,ml_optimized,293,True,173.496,0.838,29.844,0.779,0.832,0.425,1.538,0.295,2.258,1.531,4.230,5.760,187.522,1.290,-0.591,3.520,199.759,82.81
379,Transfer,adaptive,ml_optimized,199,True,231.386,1.378,21.772,0.674,0.884,0.425,1.518,0.297,2.240,1.305,4.216,5.521,249.589,1.335,-0.577,4.632,262.740,81.99
380,Transfer,adaptive,static_hybrid,208,False,4.479,0.023,916.405,0.475,0.784,0.435,1.706,0.338,2.479,1.335,2.314,3.649,1.952,1.357,0.000,0.145,9.583,81.62
381,Transfer,adaptive,ml_optimized,310,True,236.707,0.517,36.569,0.351,0.892,0.425,1.456,0.298,2.179,1.584,4.161,5.745,248.807,1.342,-0.586,4.621,262.107,85.75
382,Transfer,adaptive,static_hybrid,235,False,3.933,0.016,866.365,0.432,0.903,0.435,1.696,0.344,2.475,1.424,2.360,3.784,1.805,1.469,0.000,0.145,9.678,81.84
383,Transfer,adaptive,static_hybrid,223,False,4.942,0.073,831.644,0.490,0.897,0.435,1.709,0.343,2.488,1.392,2.341,3.734,2.138,1.463,0.000,0.150,9.973,81.55
384,SettleCrossBorder,adaptive,ml_optimized,355,True,259.687,0.729,26.891,0.688,0.913,0.519,1.521,0.299,2.338,1.700,4.333,6.034,273.228,1.360,-0.617,5.069,287.411,83.54
385,Transfer,adaptive,ml_optimized,187,True,188.111,0.836,54.960,0.578,0.790,0.425,1.500,0.293,2.218,1.258,3.899,5.157,202.127,1.253,-0.549,3.771,213.976,83.82
386,Transfer,adaptive,ml_optimized,217,True,165.685,1.719,50.856,0.766,0.864,0.425,1.536,0.297,2.257,1.346,4.133,5.480,184.999,1.318,-0.575,3.469,196.947,80.67
387,Transfer,adaptive,static_hybrid,229,False,3.070,0.059,872.272,0.134,0.850,0.435,1.630,0.341,2.407,1.399,2.351,3.750,1.651,1.419,0.000,0.141,9.367,83.33
388,Transfer,adaptive,static_hybrid,202,False,4.652,0.099,874.596,0.476,0.856,0.435,1.706,0.341,2.483,1.333,2.306,3.639,2.102,1.424,0.000,0.148,9.796,81.62
389,SettleCrossBorder,adaptive,ml_optimized,436,True,256.636,0.500,71.723,0.607,0.871,0.519,1.505,0.297,2.321,1.895,4.161,6.056,268.636,1.324,-0.615,4.986,282.708,84.52
390,SettleCrossBorder,adaptive,ml_optimized,442,True,183.719,0.739,82.443,0.441,0.917,0.519,1.473,0.299,2.291,1.918,4.150,6.068,197.154,1.363,-0.616,3.699,209.960,84.75
391,SettleCrossBorder,adaptive,ml_optimized,355,True,142.675,1.674,39.922,0.557,0.924,0.519,1.496,0.299,2.314,1.702,4.425,6.127,161.717,1.370,-0.621,3.063,173.969,81.83
392,IssueCBDC,adaptive,static_hybrid,321,False,5.316,0.063,894.114,0.532,0.848,0.601,1.718,0.341,2.660,1.629,2.508,4.136,2.217,1.417,0.000,0.162,10.593,81.34
393,IssueCBDC,adaptive,static_hybrid,304,False,2.335,0.062,1055.022,0.473,0.809,0.596,1.705,0.339,2.641,1.579,2.479,4.058,1.470,1.381,0.000,0.147,9.696,81.63
394,Transfer,adaptive,ml_optimized,193,True,212.816,1.179,51.309,0.429,0.846,0.425,1.471,0.296,2.192,1.283,3.992,5.276,228.888,1.302,-0.557,4.254,241.354,83.71
395,Transfer,adaptive,static_hybrid,164,False,5.636,0.088,682.235,0.393,0.895,0.435,1.688,0.343,2.466,1.245,2.241,3.486,2.332,1.461,0.000,0.149,9.895,82.04
396,IssueCBDC,adaptive,static_hybrid,270,False,4.469,0.070,873.346,0.319,0.851,0.601,1.671,0.341,2.613,1.502,2.421,3.923,2.015,1.420,0.000,0.154,10.125,82.41
397,Transfer,adaptive,static_hybrid,107,False,3.417,0.074,683.909,0.172,0.896,0.435,1.639,0.343,2.417,1.102,2.144,3.246,1.758,1.462,0.000,0.134,9.018,83.14
398,SettleCrossBorder,adaptive,ml_optimized,353,True,220.304,0.500,14.268,0.362,0.797,0.519,1.458,0.294,2.271,1.674,4.364,6.039,234.364,1.259,-0.607,4.368,247.694,85.74
399,Transfer,adaptive,static_hybrid,196,False,4.886,0.066,847.222,0.423,0.875,0.435,1.694,0.342,2.472,1.321,2.295,3.616,2.114,1.442,0.000,0.148,9.792,81.89
400,IssueCBDC,adaptive,static_hybrid,355,False,4.381,0.173,876.018,0.526,0.940,0.612,1.717,0.346,2.674,1.730,2.569,4.299,2.138,1.503,0.000,0.164,10.778,81.37
401,SettleCrossBorder,adaptive,ml_optimized,450,True,144.834,1.237,43.302,0.544,0.852,0.519,1.493,0.296,2.308,1.927,4.488,6.415,161.256,1.307,-0.635,3.060,173.710,82.99
402,IssueCBDC,adaptive,static_hybrid,232,False,3.717,0.061,661.695,0.408,0.850,0.601,1.691,0.341,2.633,1.407,2.356,3.763,1.815,1.419,0.000,0.148,9.777,81.96
403,Transfer,adaptive,static_hybrid,224,False,3.368,0.113,839.367,0.470,0.871,0.435,1.705,0.342,2.482,1.390,2.344,3.735,1.800,1.439,0.000,0.144,9.600,81.65
404,SettleCrossBorder,adaptive,ml_optimized,431,True,248.599,1.646,59.445,0.576,0.834,0.519,1.499,0.295,2.314,1.876,4.432,6.308,267.477,1.292,-0.628,4.970,281.733,81.80
405,Transfer,adaptive,static_hybrid,238,False,4.381,0.059,758.950,0.138,0.813,0.435,1.631,0.339,2.406,1.415,2.366,3.781,1.978,1.384,0.000,0.147,9.695,83.31
406,Transfer,adaptive,ml_optimized,167,True,160.073,0.874,11.933,0.799,0.883,0.425,1.542,0.297,2.264,1.225,4.130,5.354,176.729,1.334,-0.569,3.318,188.430,82.62
407,SettleCrossBorder,adaptive,ml_optimized,461,True,178.720,1.339,49.058,0.555,0.874,0.519,1.495,0.297,2.311,1.958,4.490,6.448,195.754,1.326,-0.638,3.681,208.882,82.68
408,Transfer,adaptive,static_hybrid,172,False,5.151,0.006,795.504,0.190,0.958,0.435,1.643,0.347,2.424,1.276,2.253,3.529,2.096,1.521,0.000,0.145,9.715,83.05
409,Transfer,adaptive,static_hybrid,206,False,3.888,0.023,796.737,0.285,0.824,0.435,1.664,0.340,2.439,1.337,2.311,3.648,1.804,1.395,0.000,0.142,9.428,82.58
410,Transfer,adaptive,static_hybrid,266,False,3.203,0.123,814.487,0.452,0.898,0.435,1.701,0.344,2.479,1.500,2.416,3.916,1.773,1.464,0.000,0.147,9.780,81.74
411,SettleCrossBorder,adaptive,ml_optimized,327,True,217.884,0.797,34.305,0.627,0.947,0.519,1.509,0.300,2.328,1.636,4.254,5.890,231.666,1.390,-0.609,4.318,244.983,83.67
412,Transfer,adaptive,static_hybrid,169,False,5.107,0.047,704.597,0.402,0.899,0.435,1.690,0.344,2.468,1.258,2.249,3.507,2.142,1.465,0.000,0.146,9.729,81.99
413,IssueCBDC,adaptive,static_hybrid,287,False,4.223,0.097,798.671,0.459,0.844,0.600,1.702,0.341,2.643,1.543,2.451,3.994,1.992,1.413,0.000,0.155,10.197,81.71
414,Transfer,adaptive,static_hybrid,272,False,3.766,0.024,768.180,0.111,0.834,0.435,1.625,0.340,2.401,1.504,2.423,3.927,1.775,1.404,0.000,0.146,9.653,83.44
415,Transfer,adaptive,ml_optimized,222,True,191.263,1.007,39.513,0.779,0.920,0.425,1.538,0.299,2.262,1.369,4.082,5.451,206.308,1.366,-0.576,3.852,218.662,82.39
416,Transfer,adaptive,ml_optimized,96,True,187.400,0.500,43.410,0.734,0.858,0.425,1.529,0.296,2.250,1.043,3.753,4.796,199.400,1.312,-0.533,3.716,210.940,83.88
417,SettleCrossBorder,adaptive,ml_optimized,336,True,135.474,0.626,49.886,0.662,0.885,0.519,1.516,0.297,2.332,1.648,4.145,5.792,148.230,1.336,-0.601,2.814,159.904,83.92
418,Transfer,adaptive,static_hybrid,260,False,4.137,0.129,912.634,0.310,0.858,0.435,1.669,0.342,2.446,1.478,2.406,3.884,2.015,1.427,0.000,0.150,9.922,82.45
419,IssueCBDC,adaptive,static_hybrid,345,False,2.498,0.090,1053.756,0.341,0.858,0.602,1.676,0.342,2.619,1.690,2.549,4.240,1.551,1.426,0.000,0.151,9.988,82.29
420,Transfer,adaptive,static_hybrid,214,False,5.515,0.028,763.725,0.365,0.874,0.435,1.681,0.342,2.459,1.366,2.325,3.691,2.218,1.442,0.000,0.151,9.960,82.18
421,SettleCrossBorder,adaptive,ml_optimized,273,True,210.846,0.673,19.910,0.349,0.862,0.519,1.456,0.296,2.271,1.486,4.226,5.712,225.095,1.316,-0.590,4.195,237.999,85.37
422,Transfer,adaptive,ml_optimized,252,True,223.242,0.816,58.190,0.695,0.931,0.425,1.522,0.299,2.246,1.446,3.986,5.432,237.136,1.375,-0.574,4.407,250.021,83.29
423,IssueCBDC,adaptive,static_hybrid,271,False,5.602,0.083,810.146,0.426,0.884,0.605,1.695,0.343,2.643,1.510,2.423,3.933,2.317,1.451,0.000,0.160,10.504,81.87
424,SettleCrossBorder,adaptive,ml_optimized,309,True,161.923,1.298,40.651,0.692,0.920,0.519,1.521,0.299,2.339,1.587,4.275,5.862,178.713,1.366,-0.607,3.364,191.038,82.09
425,Transfer,adaptive,static_hybrid,215,False,3.978,0.123,745.162,0.430,0.962,0.435,1.696,0.347,2.478,1.384,2.329,3.713,1.966,1.524,0.000,0.147,9.829,81.85
426,Transfer,adaptive,static_hybrid,153,False,4.402,0.110,761.526,0.453,0.876,0.435,1.701,0.342,2.479,1.214,2.223,3.437,2.054,1.444,0.000,0.143,9.557,81.73
427,SettleCrossBorder,adaptive,ml_optimized,394,True,219.657,1.107,70.099,0.411,0.866,0.519,1.468,0.297,2.283,1.789,4.208,5.998,235.296,1.319,-0.608,4.384,248.672,83.98
