tx_id,tx_type,strategy,selected_strategy,payload_bytes,cross_border,network_latency_ms,packet_loss_pct,bandwidth_mbps,threat_level,load_factor,crypto_key_exchange_ms,crypto_signature_ms,crypto_verify_ms,crypto_latency_ms,blockchain_endorsement_ms,blockchain_commit_ms,blockchain_latency_ms,routing_latency_ms,queue_ms,ml_gain_ms,jitter_ms,end_to_end_latency_ms,security_score
244,Transfer,adaptive,ml_optimized,273,True,267.338,1.030,20.701,0.305,0.527,0.425,1.447,0.282,2.154,1.426,4.285,5.711,283.615,1.026,-0.566,5.247,297.187,84.70
245,Transfer,adaptive,static_hybrid,232,False,2.741,0.048,737.332,0.350,0.542,0.435,1.678,0.326,2.439,1.351,2.356,3.707,1.553,1.129,0.000,0.139,8.967,82.25
246,IssueCBDC,adaptive,static_hybrid,312,False,4.903,0.112,907.894,0.256,0.560,0.566,1.657,0.327,2.550,1.554,2.494,4.048,2.182,1.147,0.000,0.158,10.086,82.72
247,Transfer,adaptive,static_hybrid,196,False,2.832,0.088,815.473,0.158,0.621,0.435,1.636,0.330,2.401,1.275,2.296,3.571,1.631,1.204,0.000,0.137,8.944,83.21
248,Transfer,adaptive,static_hybrid,256,False,5.620,0.203,852.841,0.579,0.531,0.435,1.729,0.325,2.489,1.409,2.401,3.810,2.490,1.119,0.000,0.158,10.066,81.10
249,Transfer,adaptive,ml_optimized,244,True,169.596,0.730,69.423,0.494,0.604,0.425,1.484,0.285,2.194,1.367,3.890,5.257,182.977,1.092,-0.546,3.428,194.402,84.50
250,Transfer,adaptive,static_hybrid,240,False,4.143,0.063,1045.256,0.329,0.539,0.435,1.673,0.326,2.434,1.371,2.370,3.741,1.924,1.127,0.000,0.146,9.372,82.36
251,SettleCrossBorder,adaptive,ml_optimized,349,True,136.725,0.989,24.707,0.723,0.595,0.519,1.527,0.285,2.331,1.628,4.383,6.011,152.151,1.085,-0.601,2.889,163.865,82.71
252,SettleCrossBorder,adaptive,ml_optimized,410,True,189.676,0.736,39.301,0.453,0.531,0.519,1.476,0.282,2.277,1.769,4.354,6.123,203.094,1.030,-0.601,3.807,215.729,84.70
253,Transfer,adaptive,static_hybrid,175,False,3.478,0.093,792.708,0.423,0.656,0.435,1.694,0.331,2.461,1.229,2.260,3.489,1.800,1.237,0.000,0.140,9.127,81.89
254,Transfer,adaptive,static_hybrid,219,False,4.608,0.114,812.037,0.168,0.630,0.435,1.638,0.330,2.403,1.335,2.336,3.670,2.111,1.212,0.000,0.147,9.544,83.16
255,SettleCrossBorder,adaptive,ml_optimized,313,True,147.431,1.082,37.557,0.341,0.515,0.519,1.454,0.281,2.255,1.524,4.262,5.785,162.923,1.015,-0.578,3.077,174.478,84.39
256,SettleCrossBorder,adaptive,ml_optimized,415,True,190.570,1.448,34.379,0.683,0.594,0.519,1.520,0.285,2.324,1.793,4.520,6.313,208.259,1.084,-0.619,3.904,221.265,81.76
257,IssueCBDC,adaptive,static_hybrid,268,False,5.432,0.137,900.981,0.459,0.596,0.571,1.702,0.328,2.601,1.451,2.420,3.871,2.349,1.180,0.000,0.159,10.160,81.70
258,SettleCrossBorder,adaptive,ml_optimized,383,True,267.779,1.608,45.128,0.474,0.639,0.519,1.480,0.287,2.286,1.721,4.430,6.151,286.429,1.123,-0.608,5.308,300.687,82.41
259,Transfer,adaptive,static_hybrid,179,False,4.130,0.044,909.478,0.416,0.543,0.435,1.693,0.326,2.454,1.219,2.266,3.484,1.894,1.130,0.000,0.141,9.103,81.92
260,IssueCBDC,adaptive,static_hybrid,340,False,4.202,0.113,953.878,0.262,0.626,0.574,1.659,0.330,2.563,1.636,2.541,4.178,2.008,1.208,0.000,0.157,10.114,82.69
261,Transfer,adaptive,ml_optimized,305,True,282.195,0.500,41.539,0.759,0.671,0.425,1.534,0.288,2.247,1.532,4.119,5.651,294.195,1.151,-0.576,5.438,308.105,83.75
262,SettleCrossBorder,adaptive,ml_optimized,276,True,263.045,1.746,45.058,0.638,0.597,0.519,1.511,0.285,2.315,1.446,4.273,5.719,282.519,1.087,-0.583,5.230,296.287,81.25
263,Transfer,adaptive,ml_optimized,272,True,157.641,1.353,20.243,0.439,0.666,0.425,1.473,0.288,2.186,1.448,4.345,5.793,175.924,1.147,-0.580,3.310,187.780,83.22
264,Transfer,adaptive,static_hybrid,217,False,3.964,0.083,879.448,0.432,0.582,0.435,1.696,0.328,2.459,1.321,2.331,3.652,1.907,1.167,0.000,0.144,9.330,81.84
265,IssueCBDC,adaptive,static_hybrid,337,False,3.247,0.072,775.157,0.269,0.617,0.573,1.660,0.330,2.563,1.627,2.535,4.162,1.713,1.200,0.000,0.152,9.790,82.66
266,Transfer,adaptive,static_hybrid,235,False,3.074,0.143,902.439,0.162,0.661,0.435,1.637,0.332,2.403,1.380,2.364,3.744,1.769,1.241,0.000,0.142,9.300,83.19
267,Transfer,adaptive,ml_optimized,207,True,229.211,1.021,41.397,0.766,0.575,0.425,1.536,0.284,2.244,1.269,4.047,5.317,244.338,1.068,-0.552,4.534,256.949,82.42
268,Transfer,adaptive,ml_optimized,198,True,132.523,1.802,54.155,0.417,0.634,0.425,1.469,0.287,2.180,1.258,4.096,5.354,152.335,1.119,-0.552,2.878,163.314,82.21
269,Transfer,adaptive,ml_optimized,297,True,176.242,1.135,49.050,0.709,0.686,0.425,1.525,0.289,2.238,1.514,4.175,5.689,192.051,1.164,-0.579,3.600,204.164,82.42
270,Transfer,adaptive,ml_optimized,185,True,239.920,1.290,43.991,0.369,0.656,0.425,1.459,0.288,2.172,1.229,4.043,5.272,256.663,1.138,-0.547,4.754,269.451,83.73
271,SettleCrossBorder,adaptive,ml_optimized,389,True,294.897,2.000,58.801,0.520,0.650,0.519,1.488,0.287,2.295,1.738,4.428,6.166,315.897,1.133,-0.610,5.838,330.720,81.20
272,Transfer,adaptive,ml_optimized,288,True,141.733,1.461,49.885,0.595,0.602,0.425,1.503,0.285,2.213,1.477,4.213,5.690,159.499,1.091,-0.573,3.013,170.933,82.17
273,SettleCrossBorder,adaptive,ml_optimized,351,True,190.262,1.327,43.727,0.604,0.663,0.519,1.505,0.288,2.311,1.645,4.333,5.978,207.224,1.144,-0.601,3.879,219.935,82.46
274,Transfer,adaptive,static_hybrid,223,False,3.493,0.044,707.654,0.127,0.683,0.435,1.629,0.333,2.397,1.354,2.340,3.694,1.735,1.262,0.000,0.141,9.229,83.36
275,SettleCrossBorder,adaptive,ml_optimized,348,True,178.001,1.107,20.834,0.793,0.690,0.519,1.541,0.289,2.349,1.643,4.426,6.068,194.718,1.167,-0.610,3.656,207.349,82.07
276,IssueCBDC,adaptive,static_hybrid,388,False,4.915,0.030,729.365,0.485,0.555,0.566,1.708,0.326,2.600,1.743,2.621,4.364,2.071,1.141,0.000,0.163,10.339,81.57
277,IssueCBDC,adaptive,static_hybrid,359,False,3.976,0.094,1046.675,0.351,0.616,0.573,1.678,0.329,2.581,1.682,2.573,4.255,1.926,1.199,0.000,0.158,10.119,82.25
278,Transfer,adaptive,ml_optimized,191,True,139.372,0.958,42.338,0.704,0.636,0.425,1.524,0.287,2.235,1.240,4.003,5.244,154.121,1.121,-0.549,2.909,165.080,82.88
