tx_id,tx_type,strategy,selected_strategy,payload_bytes,cross_border,end_to_end_latency_ms,security_score,running_mean_latency_ms
348,Transfer,adaptive,static_hybrid,226,False,9.873,81.59,111.803
349,SettleCrossBorder,adaptive,ml_optimized,368,True,284.438,83.64,112.298
350,Transfer,adaptive,ml_optimized,198,True,194.559,80.90,112.533
351,IssueCBDC,adaptive,static_hybrid,416,False,10.388,81.68,112.242
352,Transfer,adaptive,static_hybrid,268,False,10.050,81.20,111.951
353,Transfer,adaptive,static_hybrid,177,False,9.790,83.41,111.662
354,Transfer,adaptive,static_hybrid,296,False,10.795,82.46,111.377
355,Transfer,adaptive,static_hybrid,186,False,9.754,82.83,111.091
356,IssueCBDC,adaptive,static_hybrid,290,False,9.972,83.00,110.807
357,Transfer,adaptive,static_hybrid,191,False,9.706,81.17,110.523
358,IssueCBDC,adaptive,static_hybrid,243,False,9.474,82.22,110.241
359,IssueCBDC,adaptive,static_hybrid,316,False,10.068,83.06,109.962
360,Transfer,adaptive,static_hybrid,313,False,9.871,81.84,109.684
361,Transfer,adaptive,static_hybrid,243,False,9.174,81.09,109.406
362,Transfer,adaptive,static_hybrid,218,False,9.590,81.14,109.130
363,Transfer,adaptive,static_hybrid,216,False,9.682,81.79,108.856
364,SettleCrossBorder,adaptive,ml_optimized,399,True,303.572,81.91,109.391
365,Transfer,adaptive,static_hybrid,193,False,9.063,81.75,109.116
366,Transfer,adaptive,ml_optimized,96,True,193.472,83.02,109.347
367,IssueCBDC,adaptive,static_hybrid,302,False,10.278,81.07,109.077
368,Transfer,adaptive,static_hybrid,134,False,9.019,82.38,108.805
369,Transfer,adaptive,static_hybrid,278,False,10.103,81.95,108.537
370,Transfer,adaptive,ml_optimized,232,True,171.105,84.65,108.706
371,Transfer,adaptive,static_hybrid,174,False,9.360,81.09,108.439
